Lab,Code,d250,d500,d750,d1000,FingerGroup,Hand,ReadingDir,MathTest,AMAS
2t9re,2,9.110534329477105,5.94758755634075,-1.448868448100427,7.025523630496082,RS,RH,LTR,24,27
2t9re,3,-2.5382442928324735,12.074368128570995,2.528447320370333,-5.731853607177641,RS,LH,LTR,19,36
2t9re,4,40.89467632011292,-11.313081996601,-7.555684514735731,5.903615539773455,LS,LH,LTR,18,22
2t9re,5,30.12466925783872,11.246401628448382,1.780628241453428,-14.20001554006717,RS,RH,LTR,18,28
2t9re,Hancock_Participant_11042017,-2.2836361598972417,3.661780609159109,14.949903325202115,1.1010761059357037,RS,RH,LTR,15,31
2t9re,Hancock_Participant_7_11042017,-1.3752672361247278,6.407084902976635,-20.5805588529484,-3.9359892543149044,RS,RH,LTR,18,30
2t9re,Hancock_Participant10_12042017,-1.0781536885836545,-2.062084245029183,-0.8829477395401852,10.81681556610613,LA,LH,LTR,16,18
2t9re,Hancock_Participant11_12042017,5.092897775602978,5.938612282395582,-4.054526448337128,3.617095889126176,LS,RH,LTR,6,40
2t9re,Hancock_Participant13_12042017,10.27590686013707,-18.031193605502835,-0.9705725261366069,8.952900102905005,RS,RH,LTR,16,33
2t9re,Hancock_Participant15_14042017,19.235339983439815,17.55230018376966,-2.8252568099500195,8.49424881561606,LS,RH,LTR,6,28
2t9re,Hancock_Participant16_14042017,18.159180632824246,-3.1434000913122873,-6.1376517469398095,-8.521687823398565,LA,RH,LTR,24,35
2t9re,Hancock_Participant17_17042017,19.359181856469093,-12.654189807196644,27.729610244738012,24.361599612238763,LS,RH,LTR,13,37
2t9re,Hancock_Participant18_18042017,-10.57616162387933,-0.23006110727749274,4.906777175982143,21.80711235138341,RS,RH,LTR,13,18
2t9re,Hancock_Participant19_18042017,-18.53669298207126,2.7270250191736523,3.3977933250887986,-6.089540251165317,LS,RH,LTR,16,32
2t9re,Hancock_Participant20_18042017,9.47683183623218,-11.88805834703652,7.970244114358138,-20.893796814019424,LA,RH,LTR,19,24
2t9re,Hancock_Participant21_19042017,7.748418267133843,-1.914407313091715,-14.912165142071956,17.433129888596454,LA,RH,LTR,16,18
2t9re,Hancock_Participant22_19042017,6.589905548554384,23.47611153728775,4.140885566991642,-9.85713506788585,LS,RH,NLR,5,29
2t9re,Hancock_Participant23_19042017,-1.0076252848505192,3.3088198531867192,-16.90047367371227,6.932845236537389,LA,RH,LTR,13,27
2t9re,Hancock_Participant25_20042017,-0.9087393828539803,-25.645524529175987,20.094356817269272,-11.56579737057018,LS,RH,LTR,21,37
2t9re,Hancock_Participant26_20042017,-4.42287203708247,3.109573070912006,-15.853015493064504,-7.252734671363896,RS,RH,LTR,23,14
2t9re,Hancock_Participant27_20042017,-12.909289776040055,-5.6587429745327995,-12.48875738206516,9.991740870884428,LS,RH,LTR,17,36
