LabID,Freq,ConditionDescription,DependentVariable,y,v
2t9re,54,Not.Applicable,d250,0.551160414391027,3.44820179998803
2t9re,54,Not.Applicable,d500,2.20935155748867,2.31693136581845
2t9re,54,Not.Applicable,d750,-1.43930857984775,2.4680571530385
2t9re,54,Not.Applicable,d1000,-0.180193005145464,2.50158934508603
3s4uh,65,Not.Applicable,d250,-1.92801180002407,2.2478963528898
3s4uh,65,Not.Applicable,d500,-0.479088021003326,3.25252698368579
3s4uh,65,Not.Applicable,d750,0.703813676946183,1.85099216158404
3s4uh,65,Not.Applicable,d1000,2.48270205237451,1.78632287717602
5hgk4,61,Not.Applicable,d250,-0.245297401539928,3.22381265369578
5hgk4,61,Not.Applicable,d500,-0.129537485653758,2.58996103728784
5hgk4,61,Not.Applicable,d750,-0.688755949080407,2.32087649842138
5hgk4,61,Not.Applicable,d1000,0.532117504281071,2.17998279052894
6ea38,61,Not.Applicable,d250,-0.0583501023922358,2.24078614176598
6ea38,61,Not.Applicable,d500,-1.10312549723614,2.31632401519901
6ea38,61,Not.Applicable,d750,1.47544834644233,2.83152164473963
6ea38,61,Not.Applicable,d1000,-3.86235792700855,3.86656708980199
8gdp3,103,Not.Applicable,d250,-1.66037670873295,1.93501948624052
8gdp3,103,Not.Applicable,d500,1.5378490410935,0.970948529037326
8gdp3,103,Not.Applicable,d750,-0.603691972592757,1.28963388890783
8gdp3,103,Not.Applicable,d1000,1.42346407896496,1.14386593893988
ecdmw,58,Not.Applicable,d250,0.37747891077184,3.51054913393498
ecdmw,58,Not.Applicable,d500,-0.421436704685427,1.76966251108035
ecdmw,58,Not.Applicable,d750,-2.17561699772884,1.76695027860243
ecdmw,58,Not.Applicable,d1000,-1.39489620141582,1.67811317192137
encwv,61,Not.Applicable,d250,0.36960148535396,2.72514749067179
encwv,61,Not.Applicable,d500,3.1626560898156,2.56905262068596
encwv,61,Not.Applicable,d750,0.349662099511291,3.22989639482456
encwv,61,Not.Applicable,d1000,2.43799521161476,1.99894401125856
fkjbz,82,Not.Applicable,d250,2.64674349139196,2.88342196518554
fkjbz,82,Not.Applicable,d500,0.272008427239796,1.56937554040883
fkjbz,82,Not.Applicable,d750,-1.57639010553113,1.63550810449007
fkjbz,82,Not.Applicable,d1000,-1.09343991457877,1.81148165591756
kwg95,60,Not.Applicable,d250,1.22377102674883,3.25396791469923
kwg95,60,Not.Applicable,d500,0.716159240844961,2.50892552298946
kwg95,60,Not.Applicable,d750,-4.06539836210444,2.68320206159845
kwg95,60,Not.Applicable,d1000,1.22413258429954,1.87344437916006
kx4w9,59,Not.Applicable,d250,-0.437419735958305,2.528628060447
kx4w9,59,Not.Applicable,d500,3.88098884803694,2.03179782042714
kx4w9,59,Not.Applicable,d750,5.74974962562831,1.97281629465062
kx4w9,59,Not.Applicable,d1000,-1.34124854740354,2.30261312037762
nzxwr,63,Not.Applicable,d250,-0.338434592234283,3.28430149187231
nzxwr,63,Not.Applicable,d500,0.565248918062213,4.39498590737496
nzxwr,63,Not.Applicable,d750,0.656698126333844,1.83269447683745
nzxwr,63,Not.Applicable,d1000,0.966992741571122,3.97627948275428
pqcf4,60,Not.Applicable,d250,-0.67474073180377,2.63512857933997
pqcf4,60,Not.Applicable,d500,0.994610114157364,3.20904232942415
pqcf4,60,Not.Applicable,d750,0.35420397961387,2.97891173874691
pqcf4,60,Not.Applicable,d1000,0.360583890971924,2.00749048188482
t5y2h,93,Not.Applicable,d250,1.00750720409624,1.96622257238206
t5y2h,93,Not.Applicable,d500,4.18567977381479,1.40736915713922
t5y2h,93,Not.Applicable,d750,0.611650522474948,1.16751048225791
t5y2h,93,Not.Applicable,d1000,-0.57338587110098,1.60835215348333
vzt3a,60,Not.Applicable,d250,-2.59400680775678,2.60782307612706
vzt3a,60,Not.Applicable,d500,2.7867135812757,2.01402190770873
vzt3a,60,Not.Applicable,d750,0.083063009586678,2.57738878747808
vzt3a,60,Not.Applicable,d1000,-1.70736579747411,1.78371352792271
xb6t2,47,Not.Applicable,d250,0.128627579746308,4.42098989971078
xb6t2,47,Not.Applicable,d500,-1.55979875605202,5.19626668328039
xb6t2,47,Not.Applicable,d750,2.44628848353249,3.06511083279083
xb6t2,47,Not.Applicable,d1000,2.05721870477582,3.08546524483011
xmyd9,54,Not.Applicable,d250,0.506937339446048,2.84604280369676
xmyd9,54,Not.Applicable,d500,-3.42699402628726,3.05735399812847
xmyd9,54,Not.Applicable,d750,-1.72839689244208,3.79347520500023
xmyd9,54,Not.Applicable,d1000,-0.386648827584936,2.49593480673325
yu8hp,64,Not.Applicable,d250,-0.252886858412703,2.85618931102876
yu8hp,64,Not.Applicable,d500,0.0949404546316295,2.17107151749194
yu8hp,64,Not.Applicable,d750,0.298827523098907,2.9146588135818
yu8hp,64,Not.Applicable,d1000,0.670771600445998,1.81692312676289
