LabID,Freq,ConditionDescription,DependentVariable,y,v
8gdp3,7,Not.Applicable,d250,-0.940203736685971,25.157896721086
8gdp3,7,Not.Applicable,d500,3.0520621726517,12.9260219475116
8gdp3,7,Not.Applicable,d750,-6.75547147095248,5.35962020378306
8gdp3,7,Not.Applicable,d1000,-2.37950854383367,24.3560991197112
fkjbz,7,Not.Applicable,d250,8.20076695020486,8.3823627802407
fkjbz,7,Not.Applicable,d500,0.125843085276967,39.0080160587638
fkjbz,7,Not.Applicable,d750,-1.79984852115729,62.4457292245659
fkjbz,7,Not.Applicable,d1000,-0.985331043320157,30.0691577350314
pqcf4,6,Not.Applicable,d250,-2.90793959050703,28.6207437376438
pqcf4,6,Not.Applicable,d500,-0.463524380582489,9.05638899291603
pqcf4,6,Not.Applicable,d750,-0.185662490807412,13.3221168264893
pqcf4,6,Not.Applicable,d1000,3.95382790608604,14.2904227642521
t5y2h,21,Not.Applicable,d250,-2.91137544942915,6.82390033335556
t5y2h,21,Not.Applicable,d500,-1.65945348397714,7.96535667272072
t5y2h,21,Not.Applicable,d750,2.75214517925874,5.62801941116859
t5y2h,21,Not.Applicable,d1000,2.20422480209026,7.03773741293364
