LabID,Freq,ConditionDescription,DependentVariable,y,v
3s4uh,18,Not.Applicable,d250,20.3125630574272,305.974073450252
3s4uh,18,Not.Applicable,d500,7.17855464500985,163.505946038135
3s4uh,18,Not.Applicable,d750,-6.50138553022341,343.644146781816
3s4uh,18,Not.Applicable,d1000,3.60429231747242,204.800009874088
6ea38,29,Not.Applicable,d250,-13.9139072338479,456.173672738658
6ea38,29,Not.Applicable,d500,-1.56793198732189,173.759910309102
6ea38,29,Not.Applicable,d750,0.986428257942319,123.757557834415
6ea38,29,Not.Applicable,d1000,17.8339274981459,79.9677225401125
ecdmw,14,Not.Applicable,d250,-22.4947920963564,245.656171934358
ecdmw,14,Not.Applicable,d500,-0.336518187112741,146.288155790003
ecdmw,14,Not.Applicable,d750,-19.1968984060415,113.853206211731
ecdmw,14,Not.Applicable,d1000,0.749252944652982,164.13419859269
nzxwr,53,Not.Applicable,d250,3.59089424442268,168.214881961662
nzxwr,53,Not.Applicable,d500,-6.22987497047599,77.9735300090831
nzxwr,53,Not.Applicable,d750,-5.52868062084531,37.1825738693237
nzxwr,53,Not.Applicable,d1000,3.09561854922099,53.1337493942539
xmyd9,18,Not.Applicable,d250,-13.5571201143128,402.299970454019
xmyd9,18,Not.Applicable,d500,5.10897038757166,420.78112533838
xmyd9,18,Not.Applicable,d750,-4.14743152995654,104.566133752965
xmyd9,18,Not.Applicable,d1000,-6.36893987345591,176.099860404573
