ConditionDescription,LabID,Freq,DependentVariable,ConditionID,y,v
LTR,2t9re,53,d250,1,0.437221826953983,3.5673436366763
LTR,2t9re,53,d500,1,1.80809193522831,2.23884216141431
LTR,2t9re,53,d750,1,-1.54459526186359,2.55147078561431
LTR,2t9re,53,d1000,1,0.00239080735907185,2.56318528482415
LTR,3s4uh,55,d250,3,-1.79172092852905,2.34056953108013
LTR,3s4uh,55,d500,3,0.332939463507757,3.86829710042432
LTR,3s4uh,55,d750,3,0.810277660939028,2.27801493942513
LTR,3s4uh,55,d1000,3,3.24557893129794,2.01242766306108
LTR,5hgk4,59,d250,5,-0.417048111092603,3.22570742321686
LTR,5hgk4,59,d500,5,-0.733516529077089,2.44302015681198
LTR,5hgk4,59,d750,5,-0.89910162808842,2.3168660988728
LTR,5hgk4,59,d1000,5,0.611915338912973,2.280059695289
LTR,6ea38,58,d250,7,-0.152043606174111,2.46517017493545
LTR,6ea38,58,d500,7,-0.699905740259846,2.49961241020258
LTR,6ea38,58,d750,7,1.83177554836744,2.99907268163586
LTR,6ea38,58,d1000,7,-4.23855571150118,4.12156563519372
LTR,8gdp3,103,d250,9,-1.66037670873295,1.93501948624052
LTR,8gdp3,103,d500,9,1.5378490410935,0.970948529037326
LTR,8gdp3,103,d750,9,-0.603691972592757,1.28963388890783
LTR,8gdp3,103,d1000,9,1.42346407896496,1.14386593893988
LTR,ecdmw,57,d250,11,0.655661191472051,3.5557767438051
LTR,ecdmw,57,d500,11,-0.489448802228489,1.82807389658486
LTR,ecdmw,57,d750,11,-2.1079946501876,1.82531955016956
LTR,ecdmw,57,d1000,11,-1.47102574414669,1.73204308838228
LTR,encwv,56,d250,13,0.61432963965568,3.17795216430987
LTR,encwv,56,d500,13,3.014039165024,2.78872766115638
LTR,encwv,56,d750,13,0.592891931723105,3.75853670249453
LTR,encwv,56,d1000,13,2.00392122848333,2.11331984089911
LTR,fkjbz,76,d250,15,3.58316147728003,3.06450036104852
LTR,fkjbz,76,d500,15,-0.226449569237296,1.54753835457932
LTR,fkjbz,76,d750,15,-1.49963503212607,1.66475183167682
LTR,fkjbz,76,d1000,15,-1.31174644796354,1.80532534031114
LTR,kwg95,55,d250,17,2.22322977201147,3.5117136528187
LTR,kwg95,55,d500,17,0.0710621828569825,2.63673937395548
LTR,kwg95,55,d750,17,-3.23433768161576,2.82680054025043
LTR,kwg95,55,d1000,17,2.07892927974971,1.83946235121066
LTR,kx4w9,55,d250,19,-0.312735127102873,2.79787820016231
LTR,kx4w9,55,d500,19,4.15298071131546,2.13884566625105
LTR,kx4w9,55,d750,19,5.97299785175456,2.24600687491008
LTR,kx4w9,55,d1000,19,-1.85850182407136,2.50088912021261
LTR,nzxwr,54,d250,21,-0.490712230468503,3.84610632918181
LTR,nzxwr,54,d500,21,1.26752503401616,5.55520487233836
LTR,nzxwr,54,d750,21,0.565676034090571,2.07437875854693
LTR,nzxwr,54,d1000,21,0.900147874525398,5.16707148134568
LTR,pqcf4,54,d250,23,-0.22916563273797,3.11353520680678
LTR,pqcf4,54,d500,23,0.18254307550443,3.00354029367815
LTR,pqcf4,54,d750,23,-0.230176370039828,3.14614967273332
LTR,pqcf4,54,d1000,23,1.16683350154422,2.18680078099143
LTR,t5y2h,79,d250,25,0.372915618194027,2.41364672897192
LTR,t5y2h,79,d500,25,4.06935011574206,1.62109523185247
LTR,t5y2h,79,d750,25,0.704120075507496,1.41319977590122
LTR,t5y2h,79,d1000,25,-1.04430408310029,1.81626174697951
LTR,vzt3a,39,d250,27,-2.40587618137341,4.06029193583164
LTR,vzt3a,39,d500,27,4.17648941858634,2.71967713974332
LTR,vzt3a,39,d750,27,0.840294711802771,3.89797407802556
LTR,vzt3a,39,d1000,27,0.183365888797223,2.78696047992186
LTR,xb6t2,47,d250,29,0.128627579746308,4.42098989971078
LTR,xb6t2,47,d500,29,-1.55979875605202,5.19626668328039
LTR,xb6t2,47,d750,29,2.44628848353249,3.06511083279083
LTR,xb6t2,47,d1000,29,2.05721870477582,3.08546524483011
LTR,xmyd9,54,d250,31,0.506937339446048,2.84604280369676
LTR,xmyd9,54,d500,31,-3.42699402628726,3.05735399812847
LTR,xmyd9,54,d750,31,-1.72839689244208,3.79347520500023
LTR,xmyd9,54,d1000,31,-0.386648827584936,2.49593480673325
LTR,yu8hp,60,d250,33,-0.00921420238700724,3.05587627703235
LTR,yu8hp,60,d500,33,-0.0744623506942361,2.3753380233242
LTR,yu8hp,60,d750,33,0.338115783940812,3.28550266081046
LTR,yu8hp,60,d1000,33,0.872339575151066,2.04188686043101
NLR,3s4uh,10,d250,4,-2.67761159324664,26.5901854013628
NLR,3s4uh,10,d500,4,-4.94523918581428,20.0659825182796
NLR,3s4uh,10,d750,4,0.118261764985533,10.3374545531908
NLR,3s4uh,10,d1000,4,-1.71312078170432,13.8459417214364
NLR,encwv,5,d250,14,-2.37135384282531,7.25145122682716
NLR,encwv,5,d500,14,4.82716564748155,39.9180781776219
NLR,encwv,5,d750,14,-2.37451202126102,10.2354568050873
NLR,encwv,5,d1000,14,7.29962382268681,33.9190637499252
NLR,fkjbz,6,d250,16,-9.21455099652358,25.7750672081688
NLR,fkjbz,6,d500,16,6.58580971594964,44.8252069856751
NLR,fkjbz,6,d750,16,-2.54862103532859,45.5946749880577
NLR,fkjbz,6,d1000,16,1.67177617496171,56.4002070089475
NLR,kwg95,5,d250,18,-9.77027517114022,21.4985566032819
NLR,kwg95,5,d500,18,7.81222687871273,38.7910634673291
NLR,kwg95,5,d750,18,-13.2070658474799,32.3550434721445
NLR,kwg95,5,d1000,18,-8.17863106565228,34.3271420683132
NLR,nzxwr,9,d250,22,0.575231237171036,25.1688898337887
NLR,nzxwr,9,d500,22,-3.64840777766145,15.0193351486853
