Node,Code,HasEye
yu8hp,Corballis_11_170426,FALSE
yu8hp,Corballis_62_170802,FALSE
yu8hp,Corballis_44_170710,FALSE
yu8hp,Corballis_03_170411,FALSE
yu8hp,Corballis_24_170511,FALSE
yu8hp,Corballis_37_170526,FALSE
yu8hp,Corballis_01_170410,FALSE
yu8hp,Corballis_65_170802,FALSE
yu8hp,Corballis_38_170530,FALSE
yu8hp,Corballis_20_170509,FALSE
yu8hp,Corballis_57_170801,FALSE
yu8hp,Corballis_19_170509,FALSE
yu8hp,Corballis_42_170609,FALSE
yu8hp,Corballis_58_170801,FALSE
yu8hp,Corballis_12_170428,FALSE
yu8hp,Corballis_50_170725,FALSE
yu8hp,Corballis_30_170523,FALSE
yu8hp,Corballis_15_170505,FALSE
yu8hp,Corballis_29_170523,FALSE
yu8hp,Corballis_05_170412,FALSE
yu8hp,Corballis_43_170613,FALSE
yu8hp,Corballis_49_170725,FALSE
yu8hp,Corballis_28_170519,FALSE
yu8hp,Corballis_08_170420,FALSE
yu8hp,Corballis_27_170517,FALSE
yu8hp,Corballis_34_170525,FALSE
yu8hp,Corballis_54_170728,FALSE
yu8hp,Corballis_40_170531,FALSE
yu8hp,Corballis_66_170802,FALSE
yu8hp,Corballis_21_170509,FALSE
yu8hp,Corballis_33_170523,FALSE
yu8hp,Corballis_53_170727,FALSE
yu8hp,Corballis_60_170801,FALSE
yu8hp,Corballis_59_170801,FALSE
yu8hp,Corballis_31_170523,FALSE
yu8hp,Corballis_04_170411,FALSE
yu8hp,Corballis_47_170721,FALSE
yu8hp,Corballis_16_170508,FALSE
yu8hp,Corballis_26_170517,FALSE
yu8hp,Corballis_46_170718,FALSE
yu8hp,Corballis_35_170525,FALSE
yu8hp,Corballis_32_170523,FALSE
yu8hp,Corballis_09_170421,FALSE
yu8hp,Corballis_55_170728,FALSE
yu8hp,Corballis_52_170727,FALSE
yu8hp,Corballis_67_170803,FALSE
yu8hp,Corballis_22_170509,FALSE
yu8hp,Corballis_10_170426,FALSE
yu8hp,Corballis_68_170803,FALSE
yu8hp,Corballis_61_170801,FALSE
yu8hp,Corballis_07_170419,FALSE
yu8hp,Corballis_36_170526,FALSE
yu8hp,Corballis_63_170802,FALSE
yu8hp,Corballis_02_170411,FALSE
yu8hp,Corballis_17_170508,FALSE
yu8hp,Corballis_64_170802,FALSE
yu8hp,Corballis_39_170531,FALSE
yu8hp,Corballis_41_170607,FALSE
yu8hp,Corballis_56_170801,FALSE
yu8hp,Corballis_18_170508,FALSE
yu8hp,Corballis_13_170504,FALSE
yu8hp,Corballis_45_170717,FALSE
yu8hp,Corballis_25_170517,FALSE
yu8hp,Corballis_14_170505,FALSE
yu8hp,Corballis_48_170724,FALSE
yu8hp,Corballis_06_170412,FALSE
vzt3a,Chen_p0056_260517,FALSE
vzt3a,Chen_p0054_260517,FALSE
vzt3a,Chen_p0050_230517,FALSE
vzt3a,Chen_p0044_190517,FALSE
vzt3a,Chen_p0042_180517,FALSE
vzt3a,Chen_p0028_110517,FALSE
vzt3a,Chen_p0036_150517,FALSE
vzt3a,Chen_p0006_030517,FALSE
vzt3a,Chen_p0040_170517,FALSE
vzt3a,Chen_p0020_080517,FALSE
vzt3a,Chen_p0012_040517,FALSE
vzt3a,Chen_p0005_020517,FALSE
vzt3a,Chen_p0031_120517,FALSE
vzt3a,Chen_p0008_030517,FALSE
vzt3a,Chen_p0001_010517,FALSE
vzt3a,Chen_p0034_150517,FALSE
vzt3a,Chen_p0015_050517,FALSE
vzt3a,Chen_p0060_060617,FALSE
vzt3a,Chen_p0059_060617,FALSE
vzt3a,Chen_p0053_250517,FALSE
vzt3a,Chen_p0049_220517,FALSE
vzt3a,Chen_p0002_010517,FALSE
vzt3a,Chen_p0023_090517,FALSE
vzt3a,Chen_p0003_020517,FALSE
vzt3a,Chen_p0037_150517,FALSE
vzt3a,Chen_p0039_170517,FALSE
vzt3a,Chen_p0019_080517,FALSE
vzt3a,Chen_p0032_120517,FALSE
vzt3a,Chen_p0013_050517,FALSE
vzt3a,Chen_p0062_140617,FALSE
vzt3a,Chen_p0061_070617,FALSE
vzt3a,Chen_p0057_290517,FALSE
vzt3a,Chen_p0055_260517,FALSE
vzt3a,Chen_p0051_230517,FALSE
vzt3a,Chen_p0047_220517,FALSE
vzt3a,Chen_p0045_190517,FALSE
vzt3a,Chen_p0041_170517,FALSE
vzt3a,Chen_p0021_090517,FALSE
vzt3a,Chen_p0035_150517,FALSE
vzt3a,Chen_p0010_040517,FALSE
vzt3a,Chen_p0017_080517,FALSE
vzt3a,Chen_p0029_110517,FALSE
vzt3a,Chen_p0026_100517,FALSE
vzt3a,Chen_p0058_020617,FALSE
vzt3a,Chen_p0052_250517,FALSE
vzt3a,Chen_p0043_180517,FALSE
vzt3a,Chen_p0007_030517,FALSE
vzt3a,Chen_p0033_130517,FALSE
vzt3a,Chen_p0027_100517,FALSE
vzt3a,Chen_p0014_050517,FALSE
vzt3a,Chen_p0022_090517,FALSE
vzt3a,Chen_p0016_050517,FALSE
vzt3a,Chen_p0024_090517,FALSE
vzt3a,Chen_p0004_020517,FALSE
vzt3a,Chen_p0048_220517,FALSE
vzt3a,Chen_p0046_210517,FALSE
vzt3a,Chen_p0011_040517,FALSE
vzt3a,Chen_p0038_170517,FALSE
vzt3a,Chen_p0018_080517,FALSE
vzt3a,Chen_p0025_100517,FALSE
vzt3a,Chen_p0009_040517,FALSE
8gdp3,70s,FALSE
8gdp3,81s,FALSE
8gdp3,92s,FALSE
8gdp3,17s,FALSE
8gdp3,108s,FALSE
8gdp3,28s,FALSE
8gdp3,119s,FALSE
8gdp3,39s,FALSE
8gdp3,9s,FALSE
8gdp3,35s,FALSE
8gdp3,46s,FALSE
8gdp3,57s,FALSE
8gdp3,13s,FALSE
8gdp3,104s,FALSE
8gdp3,115s,FALSE
8gdp3,79s,FALSE
8gdp3,111s,FALSE
8gdp3,75s,FALSE
8gdp3,31s,FALSE
8gdp3,122s,FALSE
8gdp3,86s,FALSE
8gdp3,42s,FALSE
8gdp3,97s,FALSE
8gdp3,53s,FALSE
8gdp3,100s,FALSE
8gdp3,64s,FALSE
8gdp3,20s,FALSE
8gdp3,71s,FALSE
8gdp3,82s,FALSE
8gdp3,93s,FALSE
8gdp3,60s,FALSE
8gdp3,18s,FALSE
8gdp3,109s,FALSE
8gdp3,29s,FALSE
8gdp3,58s,FALSE
8gdp3,14s,FALSE
8gdp3,105s,FALSE
8gdp3,69s,FALSE
8gdp3,25s,FALSE
8gdp3,116s,FALSE
8gdp3,36s,FALSE
8gdp3,47s,FALSE
8gdp3,87s,FALSE
8gdp3,43s,FALSE
8gdp3,98s,FALSE
8gdp3,54s,FALSE
8gdp3,10s,FALSE
8gdp3,101s,FALSE
8gdp3,21s,FALSE
8gdp3,112s,FALSE
8gdp3,76s,FALSE
8gdp3,32s,FALSE
8gdp3,123s,FALSE
8gdp3,83s,FALSE
8gdp3,94s,FALSE
8gdp3,61s,FALSE
8gdp3,72s,FALSE
8gdp3,90s,FALSE
8gdp3,19s,FALSE
8gdp3,15s,FALSE
8gdp3,106s,FALSE
8gdp3,26s,FALSE
8gdp3,117s,FALSE
8gdp3,37s,FALSE
8gdp3,48s,FALSE
8gdp3,59s,FALSE
8gdp3,55s,FALSE
8gdp3,11s,FALSE
8gdp3,102s,FALSE
8gdp3,66s,FALSE
8gdp3,22s,FALSE
8gdp3,113s,FALSE
8gdp3,77s,FALSE
8gdp3,33s,FALSE
8gdp3,124s,FALSE
8gdp3,88s,FALSE
8gdp3,44s,FALSE
8gdp3,99s,FALSE
8gdp3,95s,FALSE
8gdp3,62s,FALSE
8gdp3,73s,FALSE
8gdp3,120s,FALSE
8gdp3,84s,FALSE
8gdp3,40s,FALSE
8gdp3,91s,FALSE
8gdp3,80s,FALSE
8gdp3,118s,FALSE
8gdp3,38s,FALSE
8gdp3,16s,FALSE
8gdp3,107s,FALSE
8gdp3,27s,FALSE
8gdp3,67s,FALSE
8gdp3,23s,FALSE
8gdp3,114s,FALSE
8gdp3,78s,FALSE
8gdp3,34s,FALSE
8gdp3,125s,FALSE
8gdp3,89s,FALSE
8gdp3,45s,FALSE
8gdp3,56s,FALSE
8gdp3,12s,FALSE
