Subject Code,Main Data,Secondary Data,Finger Counting Data,Exclude Data,Reason,Other comments,Node
1,1_data.mat,NA,1_fingercounting.mat,TRUE,fingercoutning data incomplete - counted to three using each finger only with one hand,Please update filename with prefix Hancock_Participant,2t9re
2,2_data.mat,NA,2_fingercounting.mat,FALSE,NA,Please update filename with prefix Hancock_Participant,2t9re
3,3_data.mat,NA,3_fingercounting.mat,FALSE,NA,Please update filename with prefix Hancock_Participant,2t9re
4,4_data.mat,NA,4_fingercounting.mat,FALSE,NA,Please update filename with prefix Hancock_Participant,2t9re
5,5_data.mat,NA,5_fingercounting.mat,FALSE,NA,Please update filename with prefix Hancock_Participant,2t9re
Hancock_Participant6_11042017,hancock_participant6_11042017_data.mat,NA,hancock_participant6_11042017_fingercounting.mat,FALSE,NA,No underscore before or after 6 in both data.mat and fingerocunting.mat files.,2t9re
Hancock_Participant_7_11042017,hancock_participant_7_11042017_data.mat,NA,hancock_participant7_11042017_fingercounting.mat,FALSE,NA,No underscore before 7 in fingercounting data file,2t9re
Hancock_Participant_11042017,hancock_participant_11042017_data.mat,NA,hancock_participant8_11042017_fingercounting.mat,FALSE,NA,The number 8 is missing from the subject code and .mat filename but is correctly included in the .fingercounting.mat filename,2t9re
Hancock_Participant9_11042017,hancock_participant9_11042017_data.mat,NA,hancock_participant9_11042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant10_12042017,hancock_participant10_12042017_data.mat,NA,hancock_participant10_12042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant11_12042017,hancock_participant11_12042017_data.mat,NA,hancock_participant11_12042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant12_12042017,hancock_participant12_12042017_data.mat,NA,hancock_participant12_12042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant13_12042017,hancock_participant13_12042017_data.mat,NA,hancock_participant13_12042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant14_13042017,hancock_participant14_13042017_data.mat,NA,hancock_participant14_13042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant15_14042017,hancock_participant15_14042017_data.mat,NA,hancock_participant15_14042017_fingercounting.mat,FALSE,NA,Participant guessed purpose of experiment - sNARC effect,2t9re
Hancock_Participant16_14042017,hancock_participant16_14042017_data.mat,NA,hancock_participant16_14042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant17_17042017,hancock_participant17_17042017_data.mat,NA,hancock_participant17_17042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant18_18042017,hancock_participant18_18042017_data.mat,NA,hancock_participant18_18042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant19_18042017,hancock_participant19_18042017_data.mat,NA,hancock_participant19_18042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant20_18042017,hancock_participant20_18042017_data.mat,NA,hancock_participant20_18042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant21_19042017,hancock_participant21_19042017_data.mat,NA,hancock_participant21_19042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant22_19042017,hancock_participant22_19042017_data.mat,NA,hancock_participant22_19042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant23_19042017,hancock_participant23_19042017_data.mat,NA,hancock_participant23_19042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant24_19042017,hancock_participant24_19042017_data.mat,NA,hancock_participant24_19042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant25_20042017,hancock_participant25_20042017_data.mat,NA,hancock_participant25_20042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant26_20042017,hancock_participant26_20042017_data.mat,NA,hancock_participant26_20042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant27_20042017,hancock_participant27_20042017_data.mat,NA,hancock_participant27_20042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant28_20042017,hancock_participant28_20042017_data.mat,NA,hancock_participant28_20042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant29_21042017,hancock_participant29_21042017_data.mat,NA,hancock_participant29_21042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant30_24042017,hancock_participant30_24042017_data.mat,NA,hancock_participant30_24042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant31_24042017,hancock_participant31_24042017_data.mat,NA,hancock_participant31_24042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant32_24042017,hancock_participant32_24042017_data.mat,NA,hancock_participant32_24042017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant33_02052017,hancock_participant33_02052017_data.mat,NA,hancock_participant33_02052017_fingercounting.mat,TRUE,Only this particiant completed the full eye tracking version of the experiment - multiple recalibrations - particpant fatigued.,NA,2t9re
Hancock_Participant34_02052017,hancock_participant34_02052017_data.mat,NA,hancock_participant34_02052017_fingercounting.mat,TRUE,Participant completed RT only experiment after multiple eye tracking attempts. Participant Fatigued.,NA,2t9re
Hancock_Participant35_03052017,hancock_participant35_03052017_data.mat,NA,hancock_participant35_03052017_fingercounting.mat,TRUE,Participant completed RT only experiment after multiple eye tracking attempts. Participant Fatigued.,NA,2t9re
Hancock_Participant36_03052017,hancock_participant36_03052017_data.mat,NA,hancock_participant36_03052017_fingercounting.mat,TRUE,Participant completed RT only experiment after multiple eye tracking attempts. Participant Fatigued.,NA,2t9re
Hancock_Participant38_03052017,hancock_participant38_03052017_data.mat,NA,hancock_participant38_03052017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant39_04052017,hancock_participant39_04052017_data.mat,NA,hancock_participant39_04052017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant40_04052017,hancock_participant40_04052017_data.mat,NA,hancock_participant40_04052017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant41_04052017,hancock_participant41_04052017_data.mat,NA,hancock_participant41_04052017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant42_04052017,hancock_participant42_04052017_data.mat,NA,hancock_participant42_04052017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant43_05052017,hancock_participant43_05052017_data.mat,NA,hancock_participant43_05052017_fingercounting.mat,FALSE,NA,NA,2t9re
Hancock_Participant44_05052017,hancock_participant44_05052017_data.mat,NA,hancock_participant44_05052017_fingercounting.mat,FALSE,NA,NA,2t9re
