Subject Code,Main Data,Secondary Data,Finger Counting Data,Exclude Data,Reason,Other comments,Node
COLLING_S001_170313,colling_s001_170313_data.mat,NA,colling_s001_170313_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S002_170313,colling_s002_170313_data.mat,NA,colling_s002_170313_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S003_170313,colling_s003_170313_data.mat,NA,colling_s003_170313_fingercounting.mat,TRUE,Technical problem,no eye tracker,3s4uh
COLLING_S004_170313,colling_s004_170313_data.mat,NA,colling_s004_170313_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S005_170314,colling_s005_170314_data.mat,NA,colling_s005_170314_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S006_170314,colling_s006_170314_data.mat,NA,colling_s006_170314_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S007_170314,colling_s007_170314_data.mat,NA,colling_s007_170314_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S008_170314,colling_s008_170314_data.mat,NA,colling_s008_170314_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S009_170314,colling_s009_170314_data.mat,NA,colling_s009_170314_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S010_170320,colling_s010_170320_data.mat,NA,colling_s010_170320_fingercounting.mat,TRUE,Technical problem,no eye tracker,3s4uh
COLLING_S011_170320,colling_s011_170320_data.mat,NA,colling_s011_170320_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S012_170320,colling_s012_170320_data.mat,NA,colling_s012_170320_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S013_170320,colling_s013_170320_data.mat,NA,colling_s013_170320_fingercounting.mat,TRUE,Technical problem,NA,3s4uh
COLLING_S014_170321,colling_s014_170321_data.mat,NA,colling_s014_170321_fingercounting.mat,TRUE,Technical problem,no eye tracker,3s4uh
COLLING_S015_170321,colling_s015_170321_data.mat,NA,colling_s015_170321_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S016_170321,colling_s016_170321_data.mat,NA,colling_s016_170321_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S017_170321,colling_s017_170321_data.mat,NA,colling_s017_170321_fingercounting.mat,FALSE,NA,no eye tracker,3s4uh
COLLING_S018_170322,colling_s018_170322_data.mat,NA,colling_s018_170322_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S019_170322,colling_s019_170322_data.mat,NA,colling_s019_170322_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S020_170322,colling_s020_170322_data.mat,NA,colling_s020_170322_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S021_170322,colling_s021_170322_data.mat,NA,colling_s021_170322_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S022_170322,colling_s022_170322_data.mat,NA,colling_s022_170322_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S023_170323,colling_s023_170323_data.mat,NA,colling_s023_170323_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S024_170324,colling_s024_170324_data.mat,NA,colling_s024_170324_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S025_170324,colling_s025_170324_data.mat,NA,colling_s025_170324_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S026_170325,colling_s026_170325_data.mat,NA,colling_s026_170325_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S027_170327,colling_s027_170327_data.mat,NA,colling_s027_170327_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S028_170327,colling_s028_170327_data.mat,NA,colling_s028_170327_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S029_170328,colling_s029_170328_data.mat,NA,colling_s029_170328_fingercounting.mat,FALSE,NA,no eye tracker,3s4uh
