Subject Code,Main Data,Secondary Data,Finger Counting Data,Exclude Data,Reason,Other comments,Node
Bryce_S1_170324,bryce_s1_170324_data.mat,NA,bryce_s1_170324_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S10_170510,bryce_s10_170510_data.mat,NA,bryce_s10_170510_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S11_170510,bryce_s11_170510_data.mat,NA,bryce_s11_170510_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S12_170510,bryce_s12_170510_data.mat,NA,bryce_s12_170510_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S13_170511,bryce_s13_170511_data.mat,NA,bryce_s13_170511_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S14_170512,bryce_s14_170512_data.mat,NA,bryce_s14_170512_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S15_170512,bryce_s15_170512_data.mat,NA,bryce_s15_170512_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S16_170512,bryce_s16_170512_data.mat,NA,bryce_s16_170512_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S17_170512,bryce_s17_170512_data.mat,NA,bryce_s17_170512_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S18_170512,bryce_s18_170512_data.mat,NA,bryce_s18_170512_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S19_170515,bryce_s19_170515_data.mat,NA,bryce_s19_170515_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S2_170424,bryce_s2_170424_data.mat,NA,bryce_s2_170424_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S20_170515,bryce_s20_170515_data.mat,NA,bryce_s20_170515_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S21_170515,bryce_s21_170515_data.mat,NA,bryce_s21_170515_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S22_170517,bryce_s22_170517_data.mat,NA,bryce_s22_170517_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S23_170516,bryce_s23_170516_data.mat,NA,bryce_s23_170516_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S24_170516,bryce_s24_170516_data.mat,NA,bryce_s24_170516_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S25_170516,bryce_s25_170516_data.mat,NA,bryce_s25_170516_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S26_170516,bryce_s26_170516_data.mat,NA,bryce_s26_170516_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S27_170516,bryce_s27_170516_data.mat,NA,bryce_s27_170516_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S28_170516,bryce_s28_170516_data.mat,NA,bryce_s28_170516_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S29_170517,bryce_s29_170517_data.mat,NA,bryce_s29_170517_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S3_170508,bryce_s3_170508_data.mat,NA,bryce_s3_170508_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S30_170517,bryce_s30_170517_data.mat,NA,bryce_s30_170517_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S31_170517,bryce_s31_170517_data.mat,NA,bryce_s31_170517_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S32_170517,bryce_s32_170517_data.mat,NA,bryce_s32_170517_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S33_170518,bryce_s33_170518_data.mat,NA,bryce_s33_170518_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S34_170519,bryce_s34_170519_data.mat,NA,bryce_s34_170519_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S35_170519,bryce_s35_170519_data.mat,NA,bryce_s35_170519_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S36_170519,bryce_s36_170519_data.mat,NA,bryce_s36_170519_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S37_170519,bryce_s37_170519_data.mat,NA,bryce_s37_170519_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S38_170519,bryce_s38_170519_data.mat,NA,bryce_s38_170519_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S39_170522,bryce_s39_170522_data.mat,NA,bryce_s39_170522_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S4_170508,bryce_s4_170508_data.mat,NA,bryce_s4_170508_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S40_170522,bryce_s40_170522_data.mat,NA,bryce_s40_170522_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S41_170522,bryce_s41_170522_data.mat,NA,bryce_s41_170522_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S42_170522,bryce_s42_170522_data.mat,NA,bryce_s42_170522_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S43_170522,bryce_s43_170522_data.mat,NA,bryce_s43_170522_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S44_170523,bryce_s44_170523_data.mat,NA,bryce_s44_170523_fingercounting.mat,FALSE,NA,NA,5hgk4
Bryce_S45_170523,bryce_s45_170523_data.mat,NA,bryce_s45_170523_fingercounting.mat,FALSE,NA,NA,5hgk4
