Subject Code,Main Data,Secondary Data,Finger Counting Data,Exclude Data,Reason,Other comments,Node
lukavsky_9_170512,lukavsky_9_170512_data.mat,lukavsky_9b_170512_data.mat,lukavsky_9_fingercounting.mat,TRUE,File error,NA,6ea38
lukavsky_10_170522,lukavsky_10_170522_data.mat,lukavsky_10b_170522_data.mat,lukavsky_10_fingercounting.mat,FALSE,NA,NA,6ea38
lukavsky_11_170522,lukavsky_11_170522_data.mat,lukavsky_11b_170522_data.mat,lukavsky_11_fingercounting.mat,FALSE,NA,NA,6ea38
lukavsky_12_170522,lukavsky_12_170522_data.mat,lukavsky_12b_170522_data.mat,lukavsky_12_fingercounting.mat,FALSE,NA,NA,6ea38
lukavsky_13_170523,lukavsky_13_170523_data.mat,lukavsky_13b_170523_data.mat,lukavsky_13_fingercounting.mat,FALSE,NA,NA,6ea38
lukavsky_14_170523,lukavsky_14_170523_data.mat,lukavsky_14b_170523_data.mat,lukavsky_14_fingercounting.mat,FALSE,NA,NA,6ea38
lukavsky_15_170523,lukavsky_15_170523_data.mat,lukavsky_15b_170523_data.mat,lukavsky_15_fingercounting.mat,FALSE,NA,NA,6ea38
lukavsky_17_170524,lukavsky_17_170524_data.mat,lukavsky_17b_170524_data.mat,lukavsky_17_fingercounting.mat,FALSE,NA,NA,6ea38
lukavsky_18_170524,lukavsky_18_170524_data.mat,lukavsky_18b_170524_data.mat,lukavsky_18_fingercounting.mat,FALSE,NA,NA,6ea38
lukavsky_19_170524,lukavsky_19_170524_data.mat,lukavsky_19b_170524_data.mat,lukavsky_19_fingercounting.mat,FALSE,NA,NA,6ea38
lukavsky_20_170524,lukavsky_20_170524_data.mat,lukavsky_20b_170524_data.mat,lukavsky_20_fingercounting.mat,FALSE,NA,NA,6ea38
lukavsky_23_170525,lukavsky_23_170525_data.mat,lukavsky_23b_170525_data.mat,lukavsky_23_fingercounting.mat,FALSE,NA,NA,6ea38
lukavsky_25_170525,lukavsky_25_170525_data.mat,lukavsky_25b_170525_data.mat,lukavsky_25_fingercounting.mat,FALSE,NA,NA,6ea38
lukavsky_26_170525,lukavsky_26_170525_data.mat,lukavsky_26b_170525_data.mat,lukavsky_26_fingercounting.mat,FALSE,NA,NA,6ea38
lukavsky_27_170529,lukavsky_27_170529_data.mat,lukavsky_27b_170529_data.mat,lukavsky_27_fingercounting.mat,FALSE,NA,NA,6ea38
lukavsky_28_170529,lukavsky_28_170529_data.mat,lukavsky_28b_170529_data.mat,lukavsky_28_fingercounting.mat,FALSE,NA,NA,6ea38
lukavsky_29_170529,lukavsky_29_170529_data.mat,lukavsky_29b_170529_data.mat,lukavsky_29_fingercounting.mat,FALSE,NA,NA,6ea38
lukavsky_30_170529,lukavsky_30_170529_data.mat,lukavsky_30b_170529_data.mat,lukavsky_30_fingercounting.mat,FALSE,NA,NA,6ea38
lukavsky_31_170529,lukavsky_31_170529_data.mat,lukavsky_31b_170529_data.mat,lukavsky_31_fingercounting.mat,FALSE,NA,NA,6ea38
