Subject Code,Main Data,Secondary Data,Finger Counting Data,Exclude Data,Reason,Other comments,Node
1s,1s_primary_data.mat,1s_secondary_data.mat,1s_fingercounting.mat,TRUE,technical issues with Matlab,NA,8gdp3
2s,2s_primary_data.mat,2s_secondary_data.mat,2s_fingercounting.mat,TRUE,technical issues with Matlab,NA,8gdp3
3s,3s_primary_data.mat,3s_secondary_data.mat,3s_fingercounting.mat,TRUE,technical issues with Matlab,NA,8gdp3
4s,4s_primary_data.mat,4s_secondary_data.mat,4s_fingercounting.mat,TRUE,technical issues with Matlab,NA,8gdp3
5s,5s_primary_data.mat,5s_secondary_data.mat,5s_fingercounting.mat,TRUE,technical issues with Matlab,NA,8gdp3
6s,6s_primary_data.mat,6s_secondary_data.mat,6s_fingercounting.mat,TRUE,technical issues with Matlab,NA,8gdp3
7s,7s_primary_data.mat,7s_secondary_data.mat,7s_fingercounting.mat,TRUE,technical issues with Matlab,NA,8gdp3
8s,8s_primary_data.mat,8s_secondary_data.mat,8s_fingercounting.mat,TRUE,technical issues with Matlab,NA,8gdp3
9s,9s_primary_data.mat,9s_secondary_data.mat,9s_fingercounting.mat,FALSE,NA,NA,8gdp3
10s,10s_primary_data.mat,10s_secondary_data.mat,10s_fingercounting.mat,FALSE,NA,NA,8gdp3
11s,11s_primary_data.mat,11s_secondary_data.mat,11s_fingercounting.mat,FALSE,NA,NA,8gdp3
12s,12s_primary_data.mat,12s_secondary_data.mat,12s_fingercounting.mat,FALSE,NA,NA,8gdp3
13s,13s_primary_data.mat,13s_secondary_data.mat,13s_fingercounting.mat,FALSE,NA,NA,8gdp3
14s,14s_primary_data.mat,14s_secondary_data.mat,14s_fingercounting.mat,FALSE,NA,NA,8gdp3
15s,15s_primary_data.mat,15s_secondary_data.mat,15s_fingercounting.mat,FALSE,NA,NA,8gdp3
16s,16s_primary_data.mat,16s_secondary_data.mat,16s_fingercounting.mat,FALSE,NA,NA,8gdp3
17s,17s_primary_data.mat,17s_secondary_data.mat,17s_fingercounting.mat,FALSE,NA,NA,8gdp3
18s,18s_primary_data.mat,18s_secondary_data.mat,18s_fingercounting.mat,FALSE,NA,NA,8gdp3
