Subject Code,Main Data,Secondary Data,Finger Counting Data,Exclude Data,Reason,Other comments,Node
cipora_01_290517,cipora_01_290517_data.mat,NA,cipora_01_290517_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_02_310517,cipora_02_310517_data.mat,NA,cipora_02_310517_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_03_010617,cipora_03_010617_data.mat,NA,cipora_03_010617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_04_010617,cipora_04_010617_data.mat,NA,cipora_04_010617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_05_140617,cipora_05_140617_data.mat,NA,cipora_05_140617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_06_210617,cipora_06_210617_data.mat,NA,cipora_06_210617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_07_210617,cipora_07_210617_data.mat,NA,cipora_07_210617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_08_210617,cipora_08_210617_data.mat,NA,cipora_08_210617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_09_210617,cipora_09_210617_data.mat,NA,cipora_09_210617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_10_210617,cipora_10_210617_data.mat,NA,cipora_10_210617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_11_210617,cipora_11_210617_data.mat,NA,cipora_11_210617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_12_210617,cipora_12_210617_data.mat,NA,cipora_12_210617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_13_220617,cipora_13_220617_data.mat,NA,cipora_13_220617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_14_220617,cipora_14_220617_data.mat,NA,cipora_14_220617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_15_220617,cipora_15_220617_data.mat,NA,cipora_15_220617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_16_240617,cipora_16_240617_data.mat,NA,cipora_16_240617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_17_240617,cipora_17_240617_data.mat,NA,cipora_17_240617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_18_240617,cipora_18_240617_data.mat,NA,cipora_18_240617_fingercounting.mat,FALSE,NA,Probably not valid finger counting assessment (RH occupied during the task).,fkjbz
cipora_19_240617,cipora_19_240617_data.mat,NA,cipora_19_240617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_20_240617,cipora_20_240617_data.mat,NA,cipora_21_240617_fingercounting.mat,FALSE,NA,Mind the number inconsistency in file names,fkjbz
cipora_22_260617,cipora_22_260617_data.mat,NA,cipora_22_260617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_23_260617,cipora_23_260617_data.mat,NA,cipora_23_260617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_24_280617,cipora_24_280617_data.mat,NA,cipora_24_280617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_25_280617,cipora_25_280617_data.mat,NA,cipora_25_280617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_26_280617,cipora_26_280617_data.mat,NA,cipora_26_280617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_27_280617,cipora_27_280617_data.mat,NA,cipora_27_280617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_28_280617,cipora_28_280617_data.mat,NA,cipora_28_280617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_29_280617,cipora_29_280617_data.mat,NA,cipora_29_280617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_30_290617,cipora_30_290617_data.mat,NA,cipora_30_290617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_31_290617,cipora_31_290617_data.mat,NA,cipora_31_290617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_32_290617,cipora_32_290617_data.mat,NA,cipora_32_290617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_33_290617,cipora_33_290617_data.mat,NA,cipora_33_290617_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_34_010717,cipora_34_010717_data.mat,NA,cipora_34_010717_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_35_010717,cipora_35_010717_data.mat,NA,cipora_35_010717_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_36_010717,cipora_36_010717_data.mat,NA,cipora_36_010717_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_37_010717,cipora_37_010717_data.mat,NA,cipora_37_010717_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_38_010717,cipora_38_010717_data.mat,NA,cipora_38_010717_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_39_010717,cipora_39_010717_data.mat,NA,cipora_39_010717_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_41_030717,cipora_41_030717_data.mat,NA,cipora_41_030717_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_42_050717,cipora_42_050717_data.mat,NA,cipora_42_050717_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_43_050717,cipora_43_050717_data.mat,NA,cipora_43_050717_fingercounting.mat,TRUE,Noise during experiment,NA,fkjbz
cipora_44_050717,cipora_44_050717_data.mat,NA,cipora_44_050717_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_45_050717,cipora_45_050717_data.mat,NA,cipora_45_050717_fingercounting.mat,FALSE,NA,Probably not valid finger counting assessment (LH occupied during the task).,fkjbz
cipora_46_050717,cipora_46_050717_data.mat,NA,cipora_46_050717_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_47_060717,cipora_47_060717_data.mat,NA,cipora_47_00717_fingercounting.mat,FALSE,NA,Mind inconsistency in file names.,fkjbz
cipora_48_060717,cipora_48_060717_data.mat,NA,cipora_48_060717_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_49_060717,cipora_49_060717_data.mat,NA,cipora_49_060717_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_50_060717,cipora_50_060717_data.mat,NA,cipora_50_060717_fingercounting.mat,FALSE,NA,NA,fkjbz
cipora_51060717,cipora_51060717_data.mat,NA,cipora_51_060717_fingercounting.mat,FALSE,NA,Mind missing underscore in main data file name,fkjbz
cipora_52_080717,cipora_52_080717_data.mat,NA,cipora_52_080717_fingercounting.mat,FALSE,NA,"Native English speaker. Instructions: main task read from a separate piece of paper by experimenter. For other parts (AMAS, handedness - translated to English by the experimenter).",fkjbz
