Subject Code,Main Data,Secondary Data,Finger Counting Data,Exclude Data,Reason,Other comments,Node
Ocampo_S18_170412,ocampo_s18_170412_data.mat,NA,ocampo_s18_170412_fingercounting.mat,FALSE,NA,NA,kx4w9
Ocampo_S20_170412,ocampo_s20_170412_data.mat,NA,ocampo_s20_170412_fingercounting.mat,FALSE,NA,NA,kx4w9
Ocampo_S21_170413,ocampo_s21_170413_data.mat,NA,ocampo_s21_170413_fingercounting.mat,FALSE,NA,NA,kx4w9
Ocampo_S22_170413,ocampo_s22_170413_data.mat,NA,ocampo_s22_170413_fingercounting.mat,FALSE,NA,NA,kx4w9
Ocampo_S23_170413,ocampo_s23_170413_data.mat,NA,ocampo_s23_170413_fingercounting.mat,FALSE,NA,NA,kx4w9
Ocampo_S24_170413,ocampo_s24_170413_data.mat,NA,ocampo_s24_170413_fingercounting.mat,FALSE,NA,NA,kx4w9
Ocampo_S25_170413,ocampo_s25_170413_data.mat,NA,ocampo_s25_170413_fingercounting.mat,FALSE,NA,NA,kx4w9
Ocampo_S26_170413,ocampo_s26_170413_data.mat,NA,ocampo_s26_170413_fingercounting.mat,FALSE,NA,NA,kx4w9
Ocampo_S28_170502,ocampo_s28_170502_data.mat,NA,ocampo_s28_170502_fingercounting.mat,FALSE,NA,NA,kx4w9
Ocampo_S29_170502,ocampo_s29_170502_data.mat,NA,ocampo_s29_170502_fingercounting.mat,FALSE,NA,NA,kx4w9
Ocampo_S30_170502,ocampo_s30_170502_data.mat,NA,ocampo_s30_170502_fingercounting.mat,FALSE,NA,NA,kx4w9
Ocampo_S91_170315,ocampo_s91_170315_data.mat,NA,ocampo_s91_170315_fingercounting.mat,FALSE,NA,NA,kx4w9
Ocampo_S92_170315,ocampo_s92_170315_data.mat,NA,ocampo_s92_170315_fingercounting.mat,FALSE,NA,NA,kx4w9
Ocampo_S93_170315,ocampo_s93_170315_data.mat,NA,ocampo_s93_170315_fingercounting.mat,FALSE,NA,NA,kx4w9
Ocampo_S94_170315,ocampo_s94_170315_data.mat,NA,ocampo_s94_170315_fingercounting.mat,FALSE,NA,NA,kx4w9
Ocampo_S95_170315,ocampo_s95_170315_data.mat,NA,ocampo_s95_170315_fingercounting.mat,FALSE,NA,NA,kx4w9
