Subject Code,Main Data,Secondary Data,Finger Counting Data,Exclude Data,Reason,Other comments,Node
Holmes_S01_170327_3pm,holmes_s01_170327_3pm_data.mat,NA,holmes_s01_170327_3pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S02_170327_4pm,holmes_s02_170327_4pm_data.mat,NA,holmes_s02_170327_4pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S03_170327_5pm,holmes_s03_170327_5pm_data.mat,NA,holmes_s03_170327_5pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S05_170328_3pm,holmes_s05_170328_3pm_data.mat,NA,holmes_s05_170328_3pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S06_170328_4pm,holmes_s06_170328_4pm_data.mat,NA,holmes_s06_170328_4pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S07_170328_5pm,holmes_s07_170328_5pm_data.mat,NA,holmes_s07_170328_5pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S08_170329_3pm,holmes_s08_170329_3pm_data.mat,NA,holmes_s08_170329_3pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S09_170329_4pm,holmes_s09_170329_4pm_data.mat,NA,holmes_s09_170329_4pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S10_170329_5pm,holmes_s10_170329_5pm_data.mat,NA,holmes_s10_170329_5pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S11_170330_3pm,holmes_s11_170330_3pm_data.mat,NA,holmes_s11_170330_3pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S12_170330_4pm,holmes_s12_170330_4pm_data.mat,NA,holmes_s12_170330_4pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S13_170330_5pm,holmes_s13_170330_5pm_data.mat,NA,holmes_s13_170330_5pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S14_170331_3pm,holmes_s14_170331_3pm_data.mat,NA,holmes_s14_170331_3pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S15_170331_4pm,holmes_s15_170331_4pm_data.mat,NA,holmes_s15_170331_4pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S16_170331_5pm,holmes_s16_170331_5pm_data.mat,NA,holmes_s16_170331_5pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S17_170406_1pm,holmes_s17_170406_1pm_data.mat,NA,holmes_s17_170406_1pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S18_170406_2pm,holmes_s18_170406_2pm_data.mat,NA,holmes_s18_170406_2pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S19_170406_3pm,holmes_s19_170406_3pm_data.mat,NA,holmes_s19_170406_3pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S20_170406_4pm,holmes_s20_170406_4pm_data.mat,NA,holmes_s20_170406_4pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S21_170406_5pm,holmes_s21_170406_5pm_data.mat,NA,holmes_s21_170406_5pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S22_170406_8pm,holmes_s22_170406_8pm_data.mat,NA,holmes_s22_170406_8pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S23_170407_12pm,holmes_s23_170407_12pm_data.mat,NA,holmes_s23_170407_12pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S24_170407_1pm,holmes_s24_170407_1pm_data.mat,NA,holmes_s24_170407_1pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S25_170407_4pm,holmes_s25_170407_4pm_data.mat,NA,holmes_s25_170407_4pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S26_170407_5pm,holmes_s26_170407_5pm_data.mat,NA,holmes_s26_170407_5pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S27_170408_2pm,holmes_s27_170408_2pm_data.mat,NA,holmes_s27_170408_2pm_fingercounting.mat,TRUE,Altered State,NA,pqcf4
Holmes_S28_170409_8pm,holmes_s28_170409_8pm_data.mat,NA,holmes_s28_170409_8pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S29_170409_9pm,holmes_s29_170409_9pm_data.mat,NA,holmes_s29_170409_9pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S30_170410_2pm,holmes_s30_170410_2pm_data.mat,NA,holmes_s30_170410_2pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S31_170410_3pm,holmes_s31_170410_3pm_data.mat,NA,holmes_s31_170410_3pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S32_170410_5pm,holmes_s32_170410_5pm_data.mat,NA,holmes_s32_170410_5pm_fingercounting.mat,TRUE,Vision not corrected,NA,pqcf4
Holmes_S33_170410_7pm,holmes_s33_170410_7pm_data.mat,NA,holmes_s33_170410_7pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S34_170410_8pm,holmes_s34_170410_8pm_data.mat,NA,holmes_s34_170410_8pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S35_170410_9pm,holmes_s35_170410_9pm_data.mat,NA,holmes_s35_170410_9pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S36_170411_1pm,holmes_s36_170411_1pm_data.mat,NA,holmes_s36_170411_1pm_fingercounting.mat,FALSE,NA,NA,pqcf4
