Subject Code,Main Data,Secondary Data,Finger Counting Data,Exclude Data,Reason,Other comments,Node
Mieth_S1_180417,NA,NA,mieth_s1_180417_fingercounting.mat,TRUE,Experiment crashed; main data was not saved,NA,t5y2h
Mieth_S2_180417,mieth_s2_180417_data.mat,NA,mieth_s2_180417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S3_180417,mieth_s3_180417_data.mat,NA,mieth_s3_180417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S4_180417,mieth_s4_180417_data.mat,NA,mieth_s4_180417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S5_180417,mieth_s5_180417_data.mat,NA,mieth_s5_180417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S6_180417,mieth_s6_180417_data.mat,NA,mieth_s6_180417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S7_180417,mieth_s7_180417_data.mat,NA,mieth_s7_180417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S8_190417,mieth_s8_190417_data.mat,NA,mieth_s8_190417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S9_190417,mieth_s9_190417_data.mat,NA,mieth_s9_190417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S10_190417,mieth_s10_190417_data.mat,NA,mieth_s10_190417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S11_190417,mieth_s11_190417_data.mat,NA,mieth_s11_190417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S12_190417,mieth_s12_190417_data.mat,NA,mieth_s12_190417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S13_190417,mieth_s13_190417_data.mat,NA,mieth_s13_190417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S14_190417,mieth_s14_190417_data.mat,NA,mieth_s14_190417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S15_200417,mieth_s15_200417_data.mat,NA,mieth_s15_200417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S16_200417,mieth_s16_200417_data.mat,NA,mieth_s16_200417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S17_200417,mieth_s17_200417_data.mat,NA,mieth_s17_200417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S18_200417,mieth_s18_200417_data.mat,NA,mieth_s18_200417_fingercounting.mat,FALSE,NA,The experimental program was interruped as the ‚Windows Menu‘ was activated by key press on keyboard,t5y2h
Mieth_S19_200417,mieth_s19_200417_data.mat,NA,mieth_s19_200417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S20_200417,mieth_s20_200417_data.mat,NA,mieth_s20_200417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S21_200417,mieth_s21_200417_data.mat,NA,mieth_s21_200417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S22_200417,mieth_s22_200417_data.mat,NA,mieth_s22_200417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S23_180885,mieth_s23_180885_data.mat,NA,mieth_s23_180885_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S24_210417,mieth_s24_210417_data.mat,NA,mieth_s24_210417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S25_210417,mieth_s25_210417_data.mat,NA,mieth_s25_210417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S26_210417,mieth_s26_210417_data.mat,NA,mieth_s26_210417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S27_210417,mieth_s27_210417_data.mat,NA,mieth_s27_210417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S28_210417,mieth_s28_210417_data.mat,NA,mieth_s28_210417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S29_210417,mieth_s29_210417_data.mat,NA,mieth_s29_210417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S30_210417,mieth_s30_210417_data.mat,NA,mieth_s30_210417_fingercounting.mat,FALSE,NA,The experimental program was interruped as the ‚Windows Menu‘ was activated by key press on keyboard; participant had problems counting syllables,t5y2h
Mieth_S31_210417,mieth_s31_210417_data.mat,NA,mieth_s31_210417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S32_240417,mieth_s32_240417_data.mat,NA,mieth_s32_240417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S33_240417,NA,NA,mieth_s33_240417_fingercounting.mat,TRUE,Experiment crashed; main data was not saved,NA,t5y2h
Mieth_S34_240417,mieth_s34_240417_data.mat,NA,mieth_s34_240417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S35_250417,mieth_s35_250417_data.mat,NA,mieth_s35_250417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S36_250417,mieth_s36_250417_data.mat,NA,mieth_s36_250417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S37_250417,mieth_s37_250417_data.mat,NA,mieth_s37_250417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S38_250417,mieth_s38_250417_data.mat,NA,mieth_s38_250417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S39_260417,mieth_s39_260417_data.mat,NA,mieth_s39_260417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S40_260417,mieth_s40_260417_data.mat,NA,mieth_s40_260417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S41_260417,mieth_s41_260417_data.mat,NA,mieth_s41_260417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S42_260417,mieth_s42_260417_data.mat,NA,mieth_s42_260417_fingercounting.mat,FALSE,NA,NA,t5y2h
Mieth_S43_260417,mieth_s43_260417_data.mat,NA,mieth_s43_260417_fingercounting.mat,FALSE,NA,NA,t5y2h
