Subject Code,Main Data,Secondary Data,Finger Counting Data,Exclude Data,Reason,Other comments,Node
Chen_p0001_010517,chen_p0001_010517_primary_data.mat,chen_p0001_010517_secondary_data.mat,chen_p0001_010517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0002_010517,chen_p0002_010517_primary_data.mat,chen_p0002_010517_secondary_data.mat,chen_p0002_010517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0003_020517,chen_p0003_020517_primary_data.mat,chen_p0003_020517_secondary_data.mat,chen_p0003_020517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0004_020517,chen_p0004_020517_primary_data.mat,chen_p0004_020517_secondary_data.mat,chen_p0004_020517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0005_020517,chen_p0005_020517_primary_data.mat,chen_p0005_020517_secondary_data.mat,chen_p0005_020517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0006_030517,chen_p0006_030517_primary_data.mat,chen_p0006_030517_secondary_data.mat,chen_p0006_030517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0007_030517,chen_p0007_030517_primary_data.mat,chen_p0007_030517_secondary_data.mat,chen_p0007_030517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0008_030517,chen_p0008_030517_primary_data.mat,chen_p0008_030517_secondary_data.mat,chen_p0008_030517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0009_040517,chen_p0009_040517_primary_data.mat,chen_p0009_040517_secondary_data.mat,chen_p0009_040517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0010_040517,chen_p0010_040517_primary_data.mat,chen_p0010_040517_secondary_data.mat,chen_p0010_040517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0011_040517,chen_p0011_040517_primary_data.mat,chen_p0011_040517_secondary_data.mat,chen_p0011_040517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0012_040517,chen_p0012_040517_primary_data.mat,chen_p0012_040517_secondary_data.mat,chen_p0012_040517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0013_050517,chen_p0013_050517_primary_data.mat,chen_p0013_050517_secondary_data.mat,chen_p0013_050517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0014_050517,chen_p0014_050517_primary_data.mat,chen_p0014_050517_secondary_data.mat,chen_p0014_050517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0015_050517,chen_p0015_050517_primary_data.mat,chen_p0015_050517_secondary_data.mat,chen_p0015_050517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0016_050517,chen_p0016_050517_primary_data.mat,chen_p0016_050517_secondary_data.mat,chen_p0016_050517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0017_080517,chen_p0017_080517_primary_data.mat,chen_p0017_080517_secondary_data.mat,chen_p0017_080517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0018_080517,chen_p0018_080517_primary_data.mat,chen_p0018_080517_secondary_data.mat,chen_p0018_080517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0019_080517,chen_p0019_080517_primary_data.mat,chen_p0019_080517_secondary_data.mat,chen_p0019_080517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0020_080517,chen_p0020_080517_primary_data.mat,chen_p0020_080517_secondary_data.mat,chen_p0020_080517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0021_090517,chen_p0021_090517_primary_data.mat,chen_p0021_090517_secondary_data.mat,chen_p0021_090517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0022_090517,chen_p0022_090517_primary_data.mat,chen_p0022_090517_secondary_data.mat,chen_p0022_090517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0023_090517,chen_p0023_090517_primary_data.mat,chen_p0023_090517_secondary_data.mat,chen_p0023_090517_fingercounting.mat,FALSE,NA,This participant has a overall error rate beyond 5% but the catch error rate below 5%.,vzt3a
Chen_p0024_090517,chen_p0024_090517_primary_data.mat,chen_p0024_090517_secondary_data.mat,chen_p0024_090517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0025_100517,chen_p0025_100517_primary_data.mat,chen_p0025_100517_secondary_data.mat,chen_p0025_100517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0026_100517,chen_p0026_100517_primary_data.mat,chen_p0026_100517_secondary_data.mat,chen_p0026_100517_fingercounting.mat,FALSE,NA,NA,vzt3a
