Subject Code,Main Data,Secondary Data,Finger Counting Data,Exclude Data,Reason,Other comments,Node
Lindemann_Participant_1,lindemann_participant_1_data.mat,NA,lindemann_participant_1_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_2,lindemann_participant_2_data.mat,NA,lindemann_participant_2_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_3,lindemann_participant_3_data.mat,NA,lindemann_participant_3_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_4,lindemann_participant_4_data.mat,NA,lindemann_participant_4_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_5,lindemann_participant_5_data.mat,NA,lindemann_participant_5_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_6,lindemann_participant_6_data.mat,NA,lindemann_participant_6_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_7,lindemann_participant_7_data.mat,NA,lindemann_participant_7_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_8,lindemann_participant_8_data.mat,NA,lindemann_participant_8_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_9,lindemann_participant_9_data.mat,NA,lindemann_participant_9_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_10,lindemann_participant_10_data.mat,NA,lindemann_participant_10_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_11,lindemann_participant_11_data.mat,NA,lindemann_participant_11_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_12,lindemann_participant_12_data.mat,NA,lindemann_participant_12_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_13,lindemann_participant_13_data.mat,NA,lindemann_participant_13_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_14,lindemann_participant_14_data.mat,NA,lindemann_participant_14_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_15,lindemann_participant_15_data.mat,NA,lindemann_participant_15_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_16,lindemann_participant_16_data.mat,NA,lindemann_participant_16_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_17,lindemann_participant_17_data.mat,NA,lindemann_participant_17_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_18,lindemann_participant_18_data.mat,NA,lindemann_participant_18_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_19,lindemann_participant_19_data.mat,NA,lindemann_participant_19_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_20,lindemann_participant_20_data.mat,NA,lindemann_participant_20_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_21,lindemann_participant_21_data.mat,NA,lindemann_participant_21_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_22,lindemann_participant_22_data.mat,NA,lindemann_participant_22_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_23,lindemann_participant_23_data.mat,NA,lindemann_participant_23_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_24,lindemann_participant_24_data.mat,NA,lindemann_participant_24_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_25,lindemann_participant_25_data.mat,NA,lindemann_participant_25_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_26,lindemann_participant_26_data.mat,NA,lindemann_participant_26_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_27,lindemann_participant_27_data.mat,NA,lindemann_participant_27_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_28,lindemann_participant_28_data.mat,NA,lindemann_participant_28_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_29,lindemann_participant_29_data.mat,NA,lindemann_participant_29_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_30,lindemann_participant_30_data.mat,NA,lindemann_participant_30_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_31,lindemann_participant_31_data.mat,NA,lindemann_participant_31_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_32,lindemann_participant_32_data.mat,NA,lindemann_participant_32_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_33,lindemann_participant_33_data.mat,NA,lindemann_participant_33_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_34,lindemann_participant_34_data.mat,NA,lindemann_participant_34_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_35,lindemann_participant_35_data.mat,NA,lindemann_participant_35_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_36,lindemann_participant_36_data.mat,NA,lindemann_participant_36_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_37,lindemann_participant_37_data.mat,NA,lindemann_participant_37_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_38,lindemann_participant_38_data.mat,NA,lindemann_participant_38_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_39,lindemann_participant_39_data.mat,NA,lindemann_participant_39_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_40,lindemann_participant_40_data.mat,NA,lindemann_participant_40_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_41,lindemann_participant_41_data.mat,NA,lindemann_participant_41_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_42,lindemann_participant_42_data.mat,NA,lindemann_participant_42_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_43,lindemann_participant_43_data.mat,NA,lindemann_participant_43_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_44,lindemann_participant_44_data.mat,NA,lindemann_participant_44_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_45,lindemann_participant_45_data.mat,NA,lindemann_participant_45_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_46,lindemann_participant_46_data.mat,NA,lindemann_participant_46_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_47,lindemann_participant_47_data.mat,NA,lindemann_participant_47_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_48,lindemann_participant_48_data.mat,NA,lindemann_participant_48_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_49,lindemann_participant_49_data.mat,NA,lindemann_participant_49_fingercounting.mat,FALSE,NA,NA,xb6t2
Lindemann_Participant_50,lindemann_participant_50_data.mat,NA,lindemann_participant_50_fingercounting.mat,FALSE,NA,NA,xb6t2
