Subject Code,Main Data,Secondary Data,Finger Counting Data,Exclude Data,Reason,Other comments,Node
Ortiz_1_171027,ortiz_1_171027_data.mat,ortiz_1_171027_secondary_data.mat,ortiz_1_171027_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_2_170522,ortiz_2_170522_data.mat,ortiz_2_170522_secondary_data.mat,ortiz_2_170522_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_3_170522,ortiz_3_170522_data.mat,ortiz_3_170522_secondary_data.mat,ortiz_3_170522_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_4_170522,ortiz_4_170522_data.mat,ortiz_4_170522_secondary_data.mat,ortiz_4_170522_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_5_170524,ortiz_5_170524_data.mat,ortiz_5_170524_secondary_data.mat,ortiz_5_170524_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_6_170524,ortiz_6_170524_data.mat,ortiz_6_170524_secondary_data.mat,ortiz_6_170524_fingercounting.mat,TRUE,File error,NA,xmyd9
Ortiz_7_170524,ortiz_7_170524_data.mat,ortiz_7_170524_secondary_data.mat,ortiz_7_170524_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_8_171107,ortiz_8_171107_data.mat,ortiz_8_171107_secondary_data.mat,ortiz_8_171107_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_9_170525,ortiz_9_170525_data.mat,ortiz_9_170525_secondary_data.mat,ortiz_9_170525_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_10_171107,ortiz_10_171107_data.mat,ortiz_10_171107_secondary_data.mat,ortiz_10_171107_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_11_170526,ortiz_11_170526_data.mat,ortiz_11_170526_secondary_data.mat,ortiz_11_170526_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_12_170925,ortiz_12_170925_data.mat,ortiz_12_170925_secondary_data.mat,ortiz_12_170925_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_13_170926,ortiz_13_170926_data.mat,ortiz_13_170926_secondary_data.mat,ortiz_13_170926_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_14_170926,ortiz_14_170926_data.mat,ortiz_14_170926_secondary_data.mat,ortiz_14_170926_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_15_170927,ortiz_15_170927_data.mat,ortiz_15_170927_secondary_data.mat,ortiz_15_170927_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_16_170927,ortiz_16_170927_data.mat,ortiz_16_170927_secondary_data.mat,ortiz_16_170927_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_17_170928,ortiz_17_170928_data.mat,ortiz_17_170928_secondary_data.mat,ortiz_17_170928_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_18_170927,ortiz_18_170927_data.mat,ortiz_18_170927_secondary_data.mat,ortiz_18_170927_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_19_170929,ortiz_19_170929_data.mat,ortiz_19_170929_secondary_data.mat,ortiz_19_170929_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_20_171004,ortiz_20_171004_data.mat,ortiz_20_171004_secondary_data.mat,ortiz_20_171004_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_21_171004,ortiz_21_171004_data.mat,ortiz_21_171004_secondary_data.mat,ortiz_21_171004_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_22_171005,ortiz_22_171005_data.mat,ortiz_22_171005_secondary_data.mat,ortiz_22_171005_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_23_171010,ortiz_23_171010_data.mat,ortiz_23_171010_secondary_data.mat,ortiz_23_171010_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_24_171010,ortiz_24_171010_data.mat,ortiz_24_171010_secondary_data.mat,ortiz_24_171010_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_25_171010,ortiz_25_171010_data.mat,ortiz_25_171010_secondary_data.mat,ortiz_25_171010_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_26_171011,ortiz_26_171011_data.mat,ortiz_26_171011_secondary_data.mat,ortiz_26_171011_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_27_171017,ortiz_27_171017_data.mat,ortiz_27_171017_secondary_data.mat,ortiz_27_171017_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_28_171018,ortiz_28_171018_data.mat,ortiz_28_171018_secondary_data.mat,ortiz_28_171018_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_29_171019,ortiz_29_171019_data.mat,ortiz_29_171019_secondary_data.mat,ortiz_29_171019_fingercounting.mat,TRUE,NA,NA,xmyd9
Ortiz_30_171025,ortiz_30_171025_data.mat,ortiz_30_171025_secondary_data.mat,ortiz_30_171025_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_1_171010,ortiz_1_171010_primary_data.mat,ortiz_1_171010_secondary_data.mat,ortiz_1_171010_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_2_171016,ortiz_2_171016_primary_data.mat,ortiz_2_171016_secondary_data.mat,ortiz_2_171016_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_3_171017,ortiz_3_171017_primary_data.mat,ortiz_3_171017_secondary_data.mat,ortiz_3_171017_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_4_171017,ortiz_4_171017_primary_data.mat,ortiz_4_171017_secondary_data.mat,ortiz_4_171017_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_5_171017,ortiz_5_171017_primary_data.mat,ortiz_5_171017_secondary_data.mat,ortiz_5_171017_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_6_171017,ortiz_6_171017_primary_data.mat,ortiz_6_171017_secondary_data.mat,ortiz_6_171017_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_7_171017,ortiz_7_171017_primary_data.mat,ortiz_7_171017_secondary_data.mat,ortiz_7_171017_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_8_171017,ortiz_8_171017_primary_data.mat,ortiz_8_171017_secondary_data.mat,ortiz_8_171017_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_9_171017,ortiz_9_171017_primary_data.mat,ortiz_9_171017_secondary_data.mat,ortiz_9_171017_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_10_171017,ortiz_10_171017_primary_data.mat,ortiz_10_171017_secondary_data.mat,ortiz_10_171017_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_11_171019,ortiz_11_171019_primary_data.mat,ortiz_11_171019_secondary_data.mat,ortiz_11_171019_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_12_171017,ortiz_12_171017_primary_data.mat,ortiz_12_171017_secondary_data.mat,ortiz_12_171017_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_13_171017,ortiz_13_171017_primary_data.mat,ortiz_13_171017_secondary_data.mat,ortiz_13_171017_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_14_171010,ortiz_14_171010_primary_data.mat,ortiz_14_171010_secondary_data.mat,ortiz_14_171010_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_15_171018,ortiz_15_171018_primary_data.mat,ortiz_15_171018_secondary_data.mat,ortiz_15_171018_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_16_171018,ortiz_16_171018_primary_data.mat,ortiz_16_171018_secondary_data.mat,ortiz_16_171018_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_17_171018,ortiz_17_171018_primary_data.mat,ortiz_17_171018_secondary_data.mat,ortiz_17_171018_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_18_171018,ortiz_18_171018_primary_data.mat,ortiz_18_171018_secondary_data.mat,ortiz_18_171018_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_19_171018,ortiz_19_171018_primary_data.mat,ortiz_19_171018_secondary_data.mat,ortiz_19_171018_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_20_171018,ortiz_20_171018_primary_data.mat,ortiz_20_171018_secondary_data.mat,ortiz_20_171018_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_21_171018,ortiz_21_171018_primary_data.mat,ortiz_21_171018_secondary_data.mat,ortiz_21_171018_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_22_171018,ortiz_22_171018_primary_data.mat,ortiz_22_171018_secondary_data.mat,ortiz_22_171018_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_23_171018,ortiz_23_171018_primary_data.mat,ortiz_23_171018_secondary_data.mat,ortiz_23_171018_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_24_171018,ortiz_24_171018_primary_data.mat,ortiz_24_171018_secondary_data.mat,ortiz_24_171018_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_25_171018,ortiz_25_171018_primary_data.mat,ortiz_25_171018_secondary_data.mat,ortiz_25_171018_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_26_171018,ortiz_26_171018_primary_data.mat,ortiz_26_171018_secondary_data.mat,ortiz_26_171018_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_27_171018,ortiz_27_171018_primary_data.mat,ortiz_27_171018_secondary_data.mat,ortiz_27_171018_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_28_171019,ortiz_28_171019_primary_data.mat,ortiz_28_171019_secondary_data.mat,ortiz_28_171019_fingercounting.mat,FALSE,NA,NA,xmyd9
Ortiz_29_171019,ortiz_29_171019_primary_data.mat,ortiz_29_171019_secondary_data.mat,ortiz_29_171019_fingercounting.mat,TRUE,NA,NA,xmyd9
Ortiz_30_171019,ortiz_30_171019_primary_data.mat,ortiz_30_171019_secondary_data.mat,ortiz_30_171019_fingercounting.mat,FALSE,NA,NA,xmyd9
