Subject Code,Main Data,Secondary Data,Finger Counting Data,Exclude Data,Reason,Other comments,Node
Corballis_01_170410,corballis_01_170410_data.mat,NA,corballis_01_170410_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_02_170411,corballis_02_170411_data.mat,NA,corballis_02_170411_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_03_170411,corballis_03_170411_data.mat,NA,corballis_03_170411_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_04_170411,corballis_04_170411_data.mat,NA,corballis_04_170411_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_05_170412,corballis_05_170412_data.mat,NA,corballis_05_170412_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_06_170412,corballis_06_170412_data.mat,NA,corballis_06_170412_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_07_170419,corballis_07_170419_data.mat,NA,corballis_07_170419_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_08_170420,corballis_08_170420_data.mat,NA,corballis_08_170420_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_09_170421,corballis_09_170421_data.mat,NA,corballis_09_170421_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_10_170426,corballis_10_170426_data.mat,NA,corballis_10_170426_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_11_170426,corballis_11_170426_data.mat,NA,corballis_11_170426_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_12_170428,corballis_12_170428_data.mat,NA,corballis_12_170428_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_13_170504,corballis_13_170504_data.mat,NA,corballis_13_170504_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_14_170505,corballis_14_170505_data.mat,NA,corballis_14_170505_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_15_170505,corballis_15_170505_data.mat,NA,corballis_15_170505_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_16_170508,corballis_16_170508_data.mat,NA,corballis_16_170508_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_17_170508,corballis_17_170508_data.mat,NA,corballis_17_170508_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_18_170508,corballis_18_170508_data.mat,NA,corballis_18_170508_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_19_170509,corballis_19_170509_data.mat,NA,corballis_19_170509_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_20_170509,corballis_20_170509_data.mat,NA,corballis_20_170509_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_21_170509,corballis_21_170509_data.mat,NA,corballis_21_170509_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_22_170509,corballis_22_170509_data.mat,NA,corballis_22_170509_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_23_170510,corballis_23_170510_data.mat,NA,corballis_23_170510_fingercounting.mat,TRUE,Inconsistent hand usage see log,NA,yu8hp
Corballis_24_170511,corballis_24_170511_data.mat,NA,corballis_24_170511_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_25_170517,corballis_25_170517_data.mat,NA,corballis_25_170517_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_26_170517,corballis_26_170517_data.mat,NA,corballis_26_170517_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_27_170517,corballis_27_170517_data.mat,NA,corballis_27_170517_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_28_170519,corballis_28_170519_data.mat,NA,corballis_28_170519_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_29_170523,corballis_29_170523_data.mat,NA,corballis_29_170523_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_30_170523,corballis_30_170523_data.mat,NA,corballis_30_170523_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_31_170523,corballis_31_170523_data.mat,NA,corballis_31_170523_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_32_170523,corballis_32_170523_data.mat,NA,corballis_32_170523_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_33_170523,corballis_33_170523_data.mat,NA,corballis_33_170523_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_34_170525,corballis_34_170525_data.mat,NA,corballis_34_170525_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_35_170525,corballis_35_170525_data.mat,NA,corballis_35_170525_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_36_170526,corballis_36_170526_data.mat,NA,corballis_36_170526_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_37_170526,corballis_37_170526_data.mat,NA,corballis_37_170526_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_38_170530,corballis_38_170530_data.mat,NA,corballis_38_170530_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_39_170531,corballis_39_170531_data.mat,NA,corballis_39_170531_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_40_170531,corballis_40_170531_data.mat,NA,corballis_40_170531_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_41_170607,corballis_41_170607_data.mat,NA,corballis_41_170607_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_42_170609,corballis_42_170609_data.mat,NA,corballis_42_170609_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_43_170613,corballis_43_170613_data.mat,NA,corballis_43_170613_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_44_170710,corballis_44_170710_data.mat,NA,corballis_44_170710_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_45_170717,corballis_45_170717_data.mat,NA,corballis_45_170717_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_46_170718,corballis_46_170718_data.mat,NA,corballis_46_170718_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_47_170721,corballis_47_170721_data.mat,NA,corballis_47_170721_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_48_170724,corballis_48_170724_data.mat,NA,corballis_48_170724_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_49_170725,corballis_49_170725_data.mat,NA,corballis_49_170725_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_50_170725,corballis_50_170725_data.mat,NA,corballis_50_170725_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_51_170727,corballis_51_170727_data.mat,NA,corballis_51_170727_fingercounting.mat,TRUE,Inconsistent hand usage see log,NA,yu8hp
Corballis_52_170727,corballis_52_170727_data.mat,NA,corballis_52_170727_fingercounting.mat,FALSE,NA,NA,yu8hp
Corballis_53_170727,corballis_53_170727_data.mat,NA,corballis_53_170727_fingercounting.mat,FALSE,NA,NA,yu8hp
